step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
1,317.2307434082031,2,mnist,4,2,1000,nefvlf
2,268.6265563964844,2,mnist,4,2,1000,nefvlf
1,213.2771453857422,2,cifar10,16,8,500,default
2,213.99374389648438,2,cifar10,16,8,500,default
4,211.44888305664062,2,cifar10,16,8,500,default
8,298.3191223144531,2,cifar10,16,8,500,default
4,203.64736938476562,2,cifar10,1024,512,500,default
64,203.53634643554688,2,cifar10,1024,512,500,default
128,198.9283905029297,2,cifar10,1024,512,500,default
512,191.24981689453125,2,cifar10,1024,512,500,default
4,323.4232177734375,4,mnist,256,64,1000,l
16,317.1899719238281,4,mnist,256,64,1000,l
64,164.41163635253906,4,mnist,256,64,1000,l
2,208.3719482421875,4,cifar10,64,16,1000,l
4,207.5009307861328,4,cifar10,64,16,1000,l
16,161.267333984375,4,cifar10,64,16,1000,l
1,211.20925903320312,2,cifar10,8,4,1000,lf
2,215.09402465820312,2,cifar10,8,4,1000,lf
4,289.5878601074219,2,cifar10,8,4,1000,lf
4,324.4796142578125,2,mnist,256,128,128,default
32,319.20440673828125,2,mnist,256,128,128,default
64,309.4263916015625,2,mnist,256,128,128,default
128,155.66574096679688,2,mnist,256,128,128,default
1,208.07420349121094,4,cifar10,16,4,1000,l
2,209.17892456054688,4,cifar10,16,4,1000,l
4,282.6449279785156,4,cifar10,16,4,1000,l
4,324.8658142089844,4,mnist,256,64,1000,default
16,317.3109436035156,4,mnist,256,64,1000,default
32,310.94464111328125,4,mnist,256,64,1000,default
64,178.36561584472656,4,mnist,256,64,1000,default
4,325.0984191894531,2,mnist,1024,512,32,default
64,324.7123718261719,2,mnist,1024,512,32,default
128,321.9721984863281,2,mnist,1024,512,32,default
512,153.55125427246094,2,mnist,1024,512,32,default
1,205.78860473632812,2,cifar10,64,32,1000,vefnlf
4,205.41136169433594,2,cifar10,64,32,1000,vefnlf
8,202.54405212402344,2,cifar10,64,32,1000,vefnlf
32,280.31072998046875,2,cifar10,64,32,1000,vefnlf
1,215.46400451660156,2,cifar10,4,2,1000,default
2,311.8762512207031,2,cifar10,4,2,1000,default
2,316.3860778808594,4,mnist,32,8,1000,ef
4,315.250244140625,4,mnist,32,8,1000,ef
8,279.693115234375,4,mnist,32,8,1000,ef
4,203.45005798339844,2,cifar10,1024,512,1000,default
64,200.9868621826172,2,cifar10,1024,512,1000,default
128,198.08099365234375,2,cifar10,1024,512,1000,default
512,195.11058044433594,2,cifar10,1024,512,1000,default
2,321.9408874511719,2,mnist,32,16,500,default
4,316.2689514160156,2,mnist,32,16,500,default
8,315.5066833496094,2,mnist,32,16,500,default
16,266.5762634277344,2,mnist,32,16,500,default
4,324.997314453125,2,mnist,128,64,1000,default
16,316.4438171386719,2,mnist,128,64,1000,default
32,311.6898193359375,2,mnist,128,64,1000,default
